bheart,bchest,bblood,dheart,dchest,dblood,mlheart,mlchest,mlblood,mheart,mchest,mblood
0.6182250424594803,1.0,0.1847824997716434,0.6210059819985676,1.0,0.1873471153806934,0.8616358166633971,1.0,1.0,0.6179938408639448,1.0,0.1884586328249823
0.6180689814472097,1.0,0.1899397609406303,0.6210059819990066,1.0,0.1873471153795569,0.8616361087512211,1.0,1.0,0.6179938216935881,1.0,0.188458580570326
0.6189797657953313,1.0,0.1829715764946298,0.6210059819984806,1.0,0.1873471153798027,0.8616369173421445,1.0,1.0,0.6179938130701723,1.0,0.1884585717498165
0.6182408138820804,1.0,0.1871586747149007,0.6210059819994188,1.0,0.1873471153804064,0.8616375247063981,1.0,1.0,0.6179938652784251,1.0,0.1884587202220381
0.6182943038580703,1.0,0.1839118374021611,0.6210059819992757,1.0,0.1873471153784233,0.8616373916028333,1.0,1.0,0.6179938437382619,1.0,0.1884586218460927
0.6180967731385549,1.0,0.1847307178001669,0.6210059819990963,1.0,0.1873471153780549,0.8616370488683976,1.0,1.0,0.6179938275030095,1.0,0.1884585846030791
0.6180567733399406,1.0,0.1829208116846703,0.6210059819995769,1.0,0.1873471153795239,0.8616373752616922,1.0,1.0,0.617993814836435,1.0,0.1884585675917568
0.6175084701909305,1.0,0.1828273966983831,0.6210059819987738,1.0,0.1873471153825814,0.8616368023206816,1.0,1.0,0.6179938203040262,1.0,0.1884585725749153
0.6200565576304773,1.0,0.1880467328478718,0.6210059819996423,1.0,0.1873471153779891,0.8616362396640301,1.0,1.0,0.6179938243178963,1.0,0.1884585828675877
0.6178184204625784,1.0,0.1830270162616566,0.6210059819991189,1.0,0.1873471153774073,0.8616367273697064,1.0,1.0,0.6179938004692652,1.0,0.1884584946115776
0.6182398562938037,1.0,0.1830714569787255,0.6210059819994594,1.0,0.1873471153784434,0.8616371799010423,1.0,1.0,0.6179938370086928,1.0,0.1884586268387182
0.6198582411792067,1.0,0.1811028780437636,0.6210059819988925,1.0,0.1873471153790946,0.86163583847373,1.0,1.0,0.6179938229598221,1.0,0.1884586018977043
0.6174025985931222,1.0,0.1828701851508452,0.6210059819990804,1.0,0.1873471153803694,0.8616372506507037,1.0,1.0,0.6179938526319387,1.0,0.1884587641485039
0.6179322786955443,1.0,0.1873675629969652,0.6210059819995174,1.0,0.1873471153790871,0.861637451432548,1.0,1.0,0.6179938680148558,1.0,0.1884587160782016
0.6187318437621468,1.0,0.1869923623805752,0.621005981999529,1.0,0.1873471153801082,0.8616364255899451,1.0,1.0,0.6179938214999879,1.0,0.1884585905343274
0.6175135249643255,1.0,0.1834550455427505,0.6210059819990087,1.0,0.1873471153804957,0.8616362311898269,1.0,1.0,0.6179939128639114,1.0,0.1884586732916117
0.6184576926760358,1.0,0.186135133036039,0.6210059819991649,1.0,0.1873471153803493,0.8616364758481873,1.0,1.0,0.6179938183175386,1.0,0.1884585724670941
0.6180603667040365,1.0,0.1853642973237607,0.6210059819996984,1.0,0.1873471153778015,0.8616371979002403,1.0,1.0,0.6179938174642668,1.0,0.1884585759696002
0.6182464883148533,1.0,0.186410814907688,0.6210059819986163,1.0,0.1873471153804246,0.8616371606263733,1.0,1.0,0.6179938627318458,1.0,0.188458704144203
0.6188323550861334,1.0,0.1854667927613813,0.6210059819992658,1.0,0.1873471153784238,0.8616370567957888,1.0,1.0,0.6179938192078425,1.0,0.1884585822111407
0.6187439768178041,1.0,0.1850351401214467,0.6210059819987127,1.0,0.1873471153787645,0.8616366911298085,1.0,1.0,0.6179939493649007,1.0,0.1884588898950017
0.6187600836579069,1.0,0.1891831353790291,0.6210059819991356,1.0,0.1873471153790163,0.861636723508751,1.0,1.0,0.6179938737128475,1.0,0.1884586982823573
0.6180616872766476,1.0,0.1847042192072345,0.6210059819993563,1.0,0.1873471153782867,0.8616373084540656,1.0,1.0,0.61799385453276,1.0,0.1884586547443662
0.6174544120872174,1.0,0.1830256736672659,0.6210059819991894,1.0,0.187347115379622,0.8616374779919559,1.0,1.0,0.6179938240534836,1.0,0.1884585911615329
0.6177690063892891,1.0,0.1835832142732182,0.6210059819990478,1.0,0.1873471153783133,0.8616371189905789,1.0,1.0,0.6179942225235374,1.0,0.1884594214846811
0.6180939415883904,1.0,0.1836557378742959,0.6210059819991878,1.0,0.1873471153771791,0.861637297663533,1.0,1.0,0.6179938378895949,1.0,0.1884586385314088
0.6179932402818301,1.0,0.1843270843064235,0.621005981998943,1.0,0.1873471153783364,0.8616371627058514,1.0,1.0,0.617993820709745,1.0,0.1884585820213652
0.617458246594834,1.0,0.1796789777776872,0.6210059819992153,1.0,0.1873471153760147,0.8616364648022565,1.0,1.0,0.6179939437377787,1.0,0.1884589079667838
0.616297197074937,1.0,0.1833453765650196,0.6210059819991239,1.0,0.1873471153793949,0.8616371287575426,1.0,1.0,0.6179940974651432,1.0,0.1884595289677607
0.6189824407230226,1.0,0.1754700892188271,0.6210059819988432,1.0,0.1873471153801324,0.8616373357614157,1.0,1.0,0.61799382049158,1.0,0.1884585835240585
0.6179001776915469,1.0,0.1835707106967503,0.6210059819990191,1.0,0.1873471153797323,0.86163699786621,1.0,1.0,0.617993817983665,1.0,0.1884585749877396
0.6196253223582561,1.0,0.1862824081849309,0.6210059819994372,1.0,0.187347115381367,0.8616373087646143,1.0,1.0,0.6179938253927517,1.0,0.1884585926968086
0.6176939465241472,1.0,0.1828804358187497,0.6210059819990902,1.0,0.1873471153764906,0.8616370809613685,1.0,1.0,0.6179938804950861,1.0,0.188458713201134
0.6194197278805939,1.0,0.1869182449918819,0.6210059819994816,1.0,0.1873471153796051,0.8616368698394596,1.0,1.0,0.6179938383013456,1.0,0.1884586244468897
0.618791491544548,1.0,0.1858155986317709,0.6210059819994455,1.0,0.1873471153803034,0.8616369441903149,1.0,1.0,0.6179939359481156,1.0,0.1884589944550424
0.6183501110602933,1.0,0.1847168545577158,0.6210059819990529,1.0,0.187347115382543,0.8616364857006428,1.0,1.0,0.617993980362301,1.0,0.1884590510671053
0.6184251750357886,1.0,0.1844291694544247,0.6210059819990207,1.0,0.1873471153826828,0.8616363834655602,1.0,1.0,0.6179938514794092,1.0,0.1884586862703234
0.6180738295170392,1.0,0.1841184469167964,0.6210059819996897,1.0,0.1873471153762535,0.861636872857237,1.0,1.0,0.6179938918570752,1.0,0.1884587937557468
0.6178544835626678,1.0,0.1857439019643647,0.6210059819990738,1.0,0.1873471153795169,0.8616370854441339,1.0,1.0,0.6179938157323602,1.0,0.1884585623348704
0.6181697310724155,1.0,0.185685509099949,0.6210059819991953,1.0,0.1873471153817925,0.8616365987681105,1.0,1.0,0.6179938268905099,1.0,0.1884585981277091
0.618149672205514,1.0,0.1847560648772877,0.6210059819994581,1.0,0.1873471153813873,0.8616368930405073,1.0,1.0,0.6179938258123495,1.0,0.1884586042957996
0.6176684615271756,1.0,0.1848735835769012,0.6210059819994156,1.0,0.1873471153796716,0.8616372504238006,1.0,1.0,0.6179938430477351,1.0,0.1884586154834099
0.6195292803041941,1.0,0.1847996724343239,0.6210059819992463,1.0,0.1873471153804734,0.8616368617266962,1.0,1.0,0.6179938279363858,1.0,0.1884585939287357
0.619339707336044,1.0,0.1875788173610676,0.6210059819990313,1.0,0.1873471153779154,0.8616360934180574,1.0,1.0,0.6179938184062878,1.0,0.1884585808441679
0.6185505031751718,1.0,0.1898792849384475,0.6210059819991716,1.0,0.1873471153800454,0.8616370732473368,1.0,1.0,0.6179938141221452,1.0,0.1884585676065861
0.6175726111572867,1.0,0.1858937064240322,0.6210059819993808,1.0,0.1873471153804115,0.8616336952311633,1.0,1.0,0.6179938513131297,1.0,0.1884586868560564
0.6178562053789279,1.0,0.1818738242143344,0.6210059819988321,1.0,0.1873471153780397,0.8616372517289129,1.0,1.0,0.6179938141547013,1.0,0.1884585658419897
0.6178374827368699,1.0,0.1834844694191428,0.6210059819991978,1.0,0.1873471153782065,0.8616365535374964,1.0,1.0,0.617993867203064,1.0,0.1884586842302446
0.6177180660330556,1.0,0.1836145781296646,0.6210059819994469,1.0,0.1873471153772186,0.8616373000313059,1.0,1.0,0.6179938264223533,1.0,0.188458589214041
0.618565606485303,1.0,0.1882821702883384,0.6210059819989278,1.0,0.1873471153787104,0.861636799796573,1.0,1.0,0.6179939173079401,1.0,0.1884588275365465
